DEPADM,DepBol,NomeDepBol,codRMet,CODMUN,MUN,SERIE_ANO,cod_per,periodo,co_comp,ds_comp,medprof
1,1,Rede Estadual,5,684,TAQUARITINGA,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,261.4
1,1,Rede Estadual,5,684,TAQUARITINGA,EM-3ª série,9,GERAL,2,MATEMÁTICA,265.2
1,1,Rede Estadual,5,685,TAQUARITUBA,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,242.0
1,1,Rede Estadual,5,685,TAQUARITUBA,9º Ano EF,9,GERAL,2,MATEMÁTICA,253.1
1,1,Rede Estadual,5,685,TAQUARITUBA,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,244.3
1,1,Rede Estadual,5,685,TAQUARITUBA,EM-3ª série,9,GERAL,2,MATEMÁTICA,257.6
1,1,Rede Estadual,5,686,TARABAI,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,254.2
1,1,Rede Estadual,5,686,TARABAI,EM-3ª série,9,GERAL,2,MATEMÁTICA,268.6
1,1,Rede Estadual,7,687,TATUI,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,232.1
1,1,Rede Estadual,7,687,TATUI,9º Ano EF,9,GERAL,2,MATEMÁTICA,236.2
1,1,Rede Estadual,7,687,TATUI,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,256.4
1,1,Rede Estadual,7,687,TATUI,EM-3ª série,9,GERAL,2,MATEMÁTICA,258.6
1,1,Rede Estadual,4,688,TAUBATE,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,250.8
1,1,Rede Estadual,4,688,TAUBATE,9º Ano EF,9,GERAL,2,MATEMÁTICA,255.8
1,1,Rede Estadual,4,688,TAUBATE,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,266.8
1,1,Rede Estadual,4,688,TAUBATE,EM-3ª série,9,GERAL,2,MATEMÁTICA,266.3
1,1,Rede Estadual,5,689,TEJUPA,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,218.4
1,1,Rede Estadual,5,689,TEJUPA,9º Ano EF,9,GERAL,2,MATEMÁTICA,238.3
1,1,Rede Estadual,5,689,TEJUPA,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,258.8
1,1,Rede Estadual,5,689,TEJUPA,EM-3ª série,9,GERAL,2,MATEMÁTICA,264.0
1,1,Rede Estadual,5,690,TEODORO SAMPAIO,5º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,124.3
1,1,Rede Estadual,5,690,TEODORO SAMPAIO,5º Ano EF,9,GERAL,2,MATEMÁTICA,138.2
1,1,Rede Estadual,5,690,TEODORO SAMPAIO,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,219.2
1,1,Rede Estadual,5,690,TEODORO SAMPAIO,9º Ano EF,9,GERAL,2,MATEMÁTICA,227.0
1,1,Rede Estadual,5,690,TEODORO SAMPAIO,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,237.8
1,1,Rede Estadual,5,690,TEODORO SAMPAIO,EM-3ª série,9,GERAL,2,MATEMÁTICA,245.2
